iter	Passed	Remaining
411	4610	6579
412	4621	6569
413	4634	6559
414	4646	6550
415	4661	6543
416	4674	6534
417	4686	6524
418	4697	6514
419	4709	6503
420	4722	6494
421	4741	6494
422	4755	6486
423	4767	6476
424	4778	6465
425	4790	6454
426	4802	6443
427	4813	6433
428	4825	6422
429	4837	6412
430	4850	6403
431	4862	6393
432	4873	6382
433	4885	6370
434	4896	6359
435	4908	6348
436	4919	6338
437	4934	6330
438	4947	6322
439	4960	6312
440	4971	6302
441	4984	6292
442	4996	6281
443	5007	6271
444	5019	6260
445	5032	6251
446	5044	6240
447	5056	6230
448	5068	6220
449	5080	6209
450	5092	6199
451	5104	6188
452	5116	6178
453	5128	6167
454	5139	6155
455	5152	6146
456	5164	6135
457	5177	6126
458	5188	6115
459	5201	6105
460	5212	6094
461	5224	6084
462	5236	6073
463	5248	6062
464	5261	6053
465	5274	6043
466	5286	6033
467	5297	6022
468	5309	6011
469	5321	6000
470	5332	5989
471	5344	5978
472	5355	5966
473	5367	5956
474	5379	5945
475	5391	5934
476	5402	5923
477	5413	5912
478	5425	5901
479	5436	5889
480	5448	5878
481	5460	5867
482	5472	5857
483	5484	5847
484	5496	5836
485	5507	5825
486	5519	5813
487	5530	5802
488	5541	5791
489	5553	5780
490	5565	5769
491	5576	5758
492	5589	5747
493	5601	5737
494	5612	5726
495	5624	5714
496	5635	5703
497	5647	5693
498	5659	5682
499	5670	5670
500	5682	5660
501	5695	5650
502	5707	5639
503	5719	5628
504	5731	5617
505	5743	5606
506	5754	5595
507	5765	5584
508	5777	5573
509	5790	5563
510	5802	5552
511	5814	5541
512	5826	5531
513	5839	5521
514	5851	5510
515	5862	5499
516	5874	5487
517	5886	5477
518	5898	5466
519	5910	5455
520	5922	5444
521	5933	5433
522	5946	5423
523	5959	5413
524	5972	5403
525	5984	5393
526	5998	5383
527	6009	5372
528	6022	5361
529	6034	5351
530	6046	5340
531	6058	5330
532	6071	5319
533	6084	5309
534	6096	5298
535	6108	5287
536	6119	5276
537	6131	5264
538	6142	5253
539	6153	5242
540	6165	5231
541	6177	5219
542	6188	5208
543	6200	5197
544	6212	5186
545	6225	5176
546	6237	5165
547	6248	5153
548	6260	5142
549	6271	5131
550	6283	5120
551	6295	5108
552	6306	5097
553	6320	5088
554	6332	5077
555	6343	5065
556	6354	5053
557	6365	5042
558	6376	5030
559	6387	5018
560	6398	5006
561	6409	4995
562	6421	4984
563	6432	4972
564	6443	4961
565	6455	4950
566	6467	4938
567	6478	4927
568	6489	4915
569	6501	4904
570	6510	4891
571	6524	4882
572	6536	4871
573	6549	4860
574	6562	4850
575	6576	4841
576	6588	4830
577	6600	4819
578	6612	4807
579	6625	4797
580	6643	4790
581	6655	4780
582	6667	4768
583	6678	4757
584	6690	4746
585	6702	4734
586	6713	4723
587	6726	4713
588	6738	4702
589	6750	4691
590	6761	4679
591	6773	4668
592	6785	4656
593	6796	4645
594	6808	4634
595	6819	4622
596	6832	4611
597	6845	4601
598	6856	4590
599	6868	4578
600	6879	4567
601	6891	4556
602	6902	4544
603	6914	4533
604	6926	4522
605	6938	4511
606	6951	4500
607	6963	4489
608	6975	4478
609	6984	4465
610	6992	4451
611	7003	4440
612	7015	4428
613	7026	4417
614	7034	4403
615	7046	4392
616	7058	4381
617	7070	4370
618	7082	4359
619	7094	4348
620	7107	4337
621	7118	4326
622	7130	4314
623	7141	4303
624	7153	4292
625	7164	4280
626	7177	4270
627	7189	4258
628	7201	4247
629	7213	4236
630	7225	4225
631	7237	4214
632	7248	4202
633	7260	4191
634	7272	4180
635	7284	4168
636	7296	4157
637	7308	4146
638	7320	4135
639	7332	4124
640	7343	4113
641	7355	4101
642	7367	4090
643	7378	4078
644	7390	4067
645	7402	4056
646	7414	4045
647	7425	4033
648	7437	4022
649	7449	4011
650	7461	3999
651	7473	3988
652	7485	3977
653	7497	3966
654	7510	3955
655	7521	3944
656	7530	3931
657	7541	3919
658	7554	3909
659	7566	3897
660	7577	3886
661	7585	3873
662	7596	3861
663	7608	3849
664	7620	3838
665	7632	3827
666	7644	3816
667	7655	3804
668	7673	3796
669	7685	3785
670	7697	3774
671	7709	3762
672	7720	3751
673	7733	3740
674	7745	3729
675	7757	3717
676	7770	3707
677	7784	3697
678	7796	3685
679	7808	3674
680	7821	3663
681	7833	3652
682	7845	3641
683	7856	3629
684	7869	3618
685	7881	3607
686	7893	3596
687	7904	3584
688	7917	3573
689	7929	3562
690	7942	3551
691	7955	3540
692	7966	3529
693	7978	3517
694	7990	3506
695	8002	3495
696	8013	3483
697	8025	3472
698	8038	3461
699	8053	3451
700	8064	3439
701	8076	3428
702	8087	3416
703	8101	3406
704	8112	3394
705	8124	3383
706	8137	3372
707	8149	3361
708	8161	3349
709	8169	3336
710	8181	3325
711	8192	3313
712	8203	3302
713	8215	3290
714	8227	3279
715	8239	3268
716	8252	3257
717	8260	3244
718	8271	3232
719	8288	3223
720	8300	3212
721	8313	3201
722	8328	3190
723	8342	3180
724	8356	3169
725	8369	3158
726	8381	3147
727	8391	3135
728	8404	3124
729	8417	3113
730	8428	3101
731	8436	3088
732	8448	3077
733	8461	3066
734	8472	3054
735	8481	3042
736	8492	3030
737	8504	3019
738	8515	3007
739	8527	2996
740	8539	2984
741	8552	2973
742	8564	2962
743	8576	2951
744	8588	2939
745	8599	2928
746	8611	2916
747	8623	2905
748	8635	2893
749	8646	2882
750	8660	2871
751	8674	2860
752	8688	2850
753	8700	2838
754	8712	2827
755	8723	2815
756	8735	2804
757	8747	2792
758	8759	2781
759	8772	2770
760	8784	2758
761	8796	2747
762	8808	2735
763	8820	2724
764	8832	2713
765	8843	2701
766	8855	2689
767	8867	2678
768	8879	2667
769	8891	2655
770	8902	2644
771	8914	2632
772	8927	2621
773	8938	2609
774	8950	2598
775	8961	2586
776	8973	2575
777	8986	2564
778	8997	2552
779	9009	2541
780	9021	2529
781	9034	2518
782	9048	2507
783	9061	2496
784	9073	2485
785	9086	2474
786	9101	2463
787	9113	2451
788	9125	2440
789	9136	2428
790	9148	2417
791	9159	2405
792	9170	2393
793	9182	2382
794	9195	2371
795	9206	2359
796	9218	2347
797	9229	2336
798	9241	2324
799	9252	2313
800	9264	2301
801	9276	2290
802	9289	2278
803	9301	2267
804	9314	2256
805	9325	2244
806	9337	2233
807	9348	2221
808	9360	2209
809	9371	2198
810	9382	2186
811	9394	2175
812	9407	2163
813	9418	2152
814	9429	2140
815	9441	2128
816	9453	2117
817	9464	2105
818	9476	2094
819	9504	2086
820	9517	2075
821	9528	2063
822	9540	2051
823	9551	2040
824	9563	2028
825	9576	2017
826	9588	2005
827	9599	1994
828	9611	1982
829	9622	1970
830	9634	1959
831	9645	1947
832	9657	1936
833	9669	1924
834	9681	1913
835	9693	1901
836	9705	1890
837	9716	1878
838	9728	1866
839	9739	1855
840	9751	1843
841	9762	1831
842	9775	1820
843	9787	1809
844	9798	1797
845	9810	1785
846	9822	1774
847	9833	1762
848	9845	1751
849	9856	1739
850	9868	1727
851	9880	1716
852	9893	1704
853	9904	1693
854	9915	1681
855	9927	1669
856	9939	1658
857	9950	1646
858	9962	1635
859	9973	1623
860	9985	1612
861	9997	1600
862	10009	1589
863	10025	1578
864	10038	1566
865	10052	1555
866	10064	1543
867	10076	1532
868	10088	1520
869	10100	1509
870	10112	1497
871	10123	1486
872	10135	1474
873	10146	1462
874	10158	1451
875	10170	1439
876	10181	1427
