iter	RMSE
170	8.197094092
171	8.1588432
172	8.143242079
173	8.10472348
174	8.086128373
175	8.045176168
176	8.002852275
177	7.95733306
178	7.938991141
179	7.908584959
180	7.878201441
181	7.822551298
182	7.771743581
183	7.7368711
184	7.704010005
185	7.661177947
186	7.630192051
187	7.614897631
188	7.601609212
189	7.546415421
190	7.512716887
191	7.508978396
192	7.472410938
193	7.430974213
194	7.394124381
195	7.383241036
196	7.35353629
197	7.308619932
198	7.304918976
199	7.284541377
200	7.26238289
201	7.242326218
202	7.240578216
203	7.211052634
204	7.182459304
205	7.150079143
206	7.129261448
207	7.10339955
208	7.062501906
209	7.030846583
210	7.005386043
211	6.956227764
212	6.935189418
213	6.907113524
214	6.867719126
215	6.85414469
216	6.805583114
217	6.799866882
218	6.754747146
219	6.733644007
220	6.700557558
221	6.687424133
222	6.653328223
223	6.634364673
224	6.611682912
225	6.57642506
226	6.542675126
227	6.527356968
228	6.51718356
229	6.496577189
230	6.465919783
231	6.45090541
232	6.424319432
233	6.391453684
234	6.377095383
235	6.361590207
236	6.347556472
237	6.329424217
238	6.320096636
239	6.2931838
240	6.27724253
241	6.271672361
242	6.265665293
243	6.235266909
244	6.20665329
245	6.181381229
246	6.150674339
247	6.112025818
248	6.101342739
249	6.088544816
250	6.067519092
251	6.057866869
252	6.048407492
253	6.03863631
254	6.02703188
255	6.008148865
256	5.97990322
257	5.941529002
258	5.926728071
259	5.896787836
260	5.880884025
261	5.864907272
262	5.851997662
263	5.817401905
264	5.804317655
265	5.793176959
266	5.787698616
267	5.762703506
268	5.75363058
269	5.744676619
270	5.738987868
271	5.726981095
272	5.722848212
273	5.707750731
274	5.698169019
275	5.681987635
276	5.665507602
277	5.652739881
278	5.647661358
279	5.634657221
280	5.624781629
281	5.600527353
282	5.595006848
283	5.578307596
284	5.553785178
285	5.542825099
286	5.519307533
287	5.513142855
288	5.500929969
289	5.495492274
290	5.491620679
291	5.486389138
292	5.474130443
293	5.465498236
294	5.461108092
295	5.447755434
296	5.431231769
297	5.423418416
298	5.410096403
299	5.402774094
300	5.377505395
301	5.367796384
302	5.352662237
303	5.327495254
304	5.318693277
305	5.300026292
306	5.277688109
307	5.274149
308	5.269484707
309	5.253015736
310	5.245187701
311	5.241474317
312	5.235692063
313	5.22804961
314	5.212244733
315	5.20537602
316	5.195418148
317	5.185663184
318	5.176107088
319	5.168849244
320	5.162078511
321	5.147699185
322	5.141130532
323	5.130626195
324	5.12142423
325	5.114308838
326	5.105360055
327	5.098140804
328	5.091259575
329	5.085413125
330	5.078436091
331	5.071733092
332	5.057689607
333	5.051305506
334	5.039567203
335	5.033984148
336	5.027271569
337	5.011508815
338	5.006107122
339	5.000109207
340	4.991989147
341	4.97829511
342	4.968838461
343	4.962430555
344	4.957285798
345	4.953691889
346	4.947904335
347	4.941614241
348	4.938121127
349	4.933204748
350	4.918036366
351	4.912491937
352	4.897629916
353	4.883018865
354	4.879625097
355	4.865844607
356	4.858159129
357	4.85344054
358	4.848889316
359	4.83476898
360	4.829623156
361	4.825260589
362	4.820984359
363	4.814943742
364	4.80899307
365	4.803130943
366	4.795851194
367	4.7901246
368	4.785145282
369	4.780699523
370	4.766958686
371	4.753449802
372	4.749426171
373	4.745067732
374	4.739475857
375	4.736811402
376	4.732134889
377	4.728287372
378	4.724516329
379	4.711346009
380	4.705826639
381	4.692877726
382	4.6859147
383	4.68052128
384	4.675207311
385	4.668474663
386	4.66188025
387	4.657789002
388	4.655361892
389	4.650945384
390	4.644485256
391	4.631711877
392	4.623984657
393	4.619678835
394	4.607143
395	4.599498028
396	4.587155569
397	4.580795402
398	4.575819054
399	4.570915536
400	4.567586965
401	4.555446052
402	4.543509385
403	4.53866244
404	4.532538376
405	4.528422368
406	4.524392882
407	4.516972009
408	4.51301601
409	4.509143289
410	4.497502549
411	4.495206104
412	4.490424275
413	4.478956588
414	4.467680917
415	4.463998582
416	4.452941923
417	4.446874119
418	4.442149782
419	4.437494483
420	4.432015581
421	4.427444483
422	4.422085067
423	4.417595987
424	4.411825932
425	4.400866611
426	4.39725063
427	4.38650543
428	4.381282854
429	4.370709073
430	4.36031253
431	4.350090164
432	4.346882175
433	4.344683763
434	4.341309651
435	4.339192511
436	4.335922748
437	4.330863588
438	4.320863536
439	4.311030506
440	4.307963952
441	4.29833118
442	4.296275663
443	4.28678853
444	4.283855305
445	4.280977489
446	4.271713625
447	4.262604237
448	4.250847564
449	4.241937249
450	4.233175293
451	4.229597913
452	4.220929757
453	4.217379327
454	4.208803456
455	4.194835793
456	4.190945992
457	4.182529699
458	4.176797949
459	4.174231527
460	4.165966136
461	4.157838272
462	4.146598173
463	4.135544285
464	4.121901822
465	4.1183152
466	4.10744699
467	4.09399783
468	4.086859849
469	4.078945299
470	4.075291712
471	4.064694551
472	4.056953886
473	4.049341795
474	4.04185604
475	4.034698312
476	4.031066155
477	4.020918473
478	4.016787093
479	4.009376133
480	4.00208786
481	3.988908891
482	3.975839135
483	3.962987807
484	3.955983069
485	3.94339976
486	3.936563414
487	3.929840479
488	3.917597636
489	3.889039629
490	3.882544062
491	3.879013049
492	3.850869027
493	3.83883014
494	3.826944577
495	3.820685753
496	3.808982346
497	3.797428039
498	3.774981446
499	3.763639573
500	3.75763882
501	3.746469622
502	3.723381097
503	3.712446011
504	3.706659852
505	3.695890322
506	3.673015687
507	3.65062463
508	3.628456313
509	3.622967074
510	3.612621145
511	3.59147211
512	3.58131666
513	3.576023043
514	3.570815707
515	3.549164448
516	3.539266041
517	3.529493765
518	3.519846116
519	3.510321605
520	3.489437102
521	3.468759166
522	3.449031004
523	3.428523017
524	3.414217067
525	3.394029884
526	3.391976885
527	3.389964782
528	3.387992744
529	3.386059958
530	3.384165625
531	3.37713723
532	3.367713773
533	3.360828957
534	3.35403605
535	3.34733388
536	3.333345358
537	3.319512849
538	3.312903905
539	3.293676101
540	3.280104979
541	3.266685195
542	3.261258663
543	3.255887588
544	3.242616982
545	3.23730055
546	3.232038588
547	3.213434882
548	3.200412633
549	3.195234396
550	3.190109347
551	3.185037002
552	3.166806401
553	3.154026407
554	3.141388204
555	3.124019568
556	3.106827073
557	3.094493408
558	3.089556573
559	3.072152839
560	3.060399018
561	3.048347177
562	3.031594468
563	3.019756032
564	3.008048777
565	3.003308669
566	2.991737055
567	2.980428477
568	2.963958608
569	2.959307517
570	2.955301147
571	2.944246989
572	2.939643636
573	2.92873372
574	2.91752275
575	2.901566331
576	2.89092168
577	2.876998117
578	2.861618585
579	2.848581473
580	2.844188795
581	2.831285955
582	2.82695207
583	2.814235084
584	2.80355313
585	2.799301644
586	2.78917608
587	2.779158622
588	2.766755941
589	2.751868793
590	2.747744598
591	2.743663754
592	2.733942764
593	2.721888742
594	2.709979971
595	2.706018421
596	2.696514928
597	2.684819946
598	2.680948238
599	2.66710997
600	2.663300896
601	2.651880584
602	2.648136516
603	2.636803317
604	2.633084304
605	2.629404629
606	2.61814733
607	2.606994134
608	2.595534595
609	2.592309842
610	2.589130891
611	2.575047442
612	2.566185083
613	2.552231222
614	2.549128321
615	2.545492789
616	2.541984325
617	2.528157
618	2.52469911
619	2.510976743
620	2.500306722
621	2.496921361
622	2.483360938
623	2.474869287
624	2.46650471
625	2.453669431
626	2.450361823
627	2.440112596
628	2.436862439
629	2.426757271
630	2.423563457
631	2.420403902
632	2.407247481
633	2.3941786
634	2.386167095
635	2.383069877
636	2.370797405
637	2.361110442
638	2.348307547
639	2.338787823
640	2.335792839
641	2.325422755
642	2.31515428
643	2.304986462
644	2.294918359
645	2.282503053
646	2.270170731
647	2.257920902
648	2.254823592
649	2.242667874
650	2.23961979
651	2.236608393
652	2.224557557
653	2.221593905
654	2.209635155
655	2.202270648
656	2.199818164
657	2.19257866
658	2.181659128
659	2.170641757
660	2.158976008
661	2.156590156
662	2.153770696
663	2.145194262
664	2.133668169
665	2.125887548
666	2.117492187
667	2.106943605
668	2.09870852
669	2.090571322
670	2.088005766
671	2.076825029
672	2.065719416
673	2.054688483
674	2.05217716
675	2.044298942
676	2.041128994
677	2.030234381
678	2.020269746
679	2.017856586
680	2.010209298
681	1.999504702
682	1.988872242
683	1.978311495
684	1.971668516
685	1.965152966
686	1.955619611
687	1.946201532
688	1.943271891
689	1.933971494
690	1.931089509
691	1.921865387
692	1.912718083
693	1.903453722
694	1.896651789
695	1.894473701
696	1.888416483
697	1.886497756
698	1.87792316
699	1.869056416
700	1.860065534
701	1.851683241
702	1.849580693
703	1.840723508
704	1.838845803
705	1.830589189
706	1.828292079
707	1.819572556
708	1.811433535
709	1.80962676
710	1.801193782
711	1.799216577
712	1.797010809
713	1.795072808
714	1.789355838
715	1.783718715
716	1.778160458
717	1.776443497
718	1.768523094
719	1.766401113
720	1.760945605
721	1.753125129
722	1.751038806
723	1.744176006
724	1.742107517
725	1.734399154
726	1.727656872
727	1.726040019
728	1.71939321
729	1.717354773
730	1.709388138
731	1.707812863
732	1.700288057
733	1.692436794
734	1.68876298
735	1.687238402
736	1.68075753
737	1.673381504
738	1.667021771
739	1.658164862
740	1.651932363
741	1.649982309
742	1.648057661
743	1.641899027
744	1.635830359
745	1.629850302
746	1.623957521
747	1.622951924
748	1.617141793
749	1.616146104
750	1.610417326
751	1.609431356
752	1.603041128
753	1.59739911
754	1.591125008
755	1.590143885
756	1.584587196
757	1.578424625
758	1.577450632
759	1.571977768
760	1.566584262
761	1.560537361
762	1.554594402
763	1.551180239
764	1.550216108
765	1.549264843
766	1.543430216
767	1.541474339
768	1.536007513
769	1.530647046
770	1.525391108
771	1.519195518
772	1.516417724
773	1.511305024
774	1.508582951
775	1.50589679
776	1.504987632
777	1.502338113
778	1.499723568
779	1.494789855
780	1.488691802
781	1.486130506
782	1.48265118
783	1.476617269
784	1.47409665
785	1.470696224
786	1.467450399
787	1.461479583
788	1.459642892
789	1.457829549
790	1.451908519
791	1.448765869
792	1.44631426
793	1.444543898
794	1.442173272
795	1.440428748
796	1.438044647
797	1.436324481
798	1.433331406
799	1.43249006
800	1.426616476
801	1.42140556
802	1.418116757
803	1.414886061
804	1.409754707
805	1.408939117
806	1.408134643
807	1.404118571
808	1.403324298
809	1.402540788
810	1.401767872
811	1.396723548
812	1.392757425
813	1.38777341
814	1.383858591
815	1.378933882
816	1.374076018
817	1.373331275
818	1.368544072
819	1.363210296
820	1.358496802
821	1.357779346
822	1.353134269
823	1.352430882
824	1.348584465
825	1.347889849
826	1.342707634
827	1.337588962
828	1.334388992
829	1.328467341
830	1.326123946
831	1.323817218
832	1.321546575
833	1.31873372
834	1.315122456
835	1.312916334
836	1.30742091
837	1.305267784
838	1.299848784
839	1.297747295
840	1.295982188
841	1.295306719
842	1.29464039
843	1.292591374
844	1.291934883
845	1.287204499
846	1.282558461
847	1.277299529
848	1.276654119
849	1.272280286
850	1.267754962
851	1.263453633
852	1.262826939
853	1.25858986
854	1.254411848
855	1.250292107
856	1.245893168
857	1.241841433
858	1.235154679
859	1.231184599
860	1.22727003
861	1.226679049
862	1.222435337
863	1.218268134
864	1.214431024
865	1.207978902
866	1.204219115
867	1.200187755
868	1.195453277
869	1.190783618
870	1.187086248
871	1.183440757
872	1.182882261
873	1.17904036
874	1.17848751
875	1.177569188
876	1.173982807
877	1.170118762
878	1.169220183
879	1.165426266
880	1.164544608
881	1.161028332
882	1.157310685
883	1.153850985
884	1.152990125
885	1.152145441
886	1.15131653
887	1.150503001
888	1.144538764
889	1.141156764
890	1.135278171
891	1.131717873
892	1.130920334
893	1.130137413
894	1.129368757
895	1.12359058
896	1.122835506
897	1.122094003
898	1.11637772
899	1.115649078
900	1.109994342
901	1.109278198
902	1.105890773
903	1.105186877
904	1.09962832
905	1.096419529
906	1.093135284
907	1.087691263
908	1.084552737
909	1.081368808
910	1.078280021
911	1.077746198
912	1.074700798
913	1.071698622
914	1.071172944
915	1.065893538
916	1.065223196
917	1.064714031
918	1.064063823
919	1.058839957
920	1.058346551
921	1.055422636
922	1.052498358
923	1.051707002
924	1.04884493
925	1.046023442
926	1.043241972
927	1.039515475
928	1.035849966
929	1.033111292
930	1.029507251
931	1.024522276
932	1.021009591
933	1.020510715
934	1.01782852
935	1.01518429
936	1.014692358
937	1.012084717
938	1.011600325
939	1.009028707
940	1.005347766
941	1.002813786
942	1.000315665
943	0.9990630837
944	0.9966018109
945	0.9929694849
946	0.991737352
947	0.9911295602
948	0.9887048606
949	0.9874960415
950	0.9851069289
951	0.9827515671
952	0.9771880887
953	0.9760068528
954	0.9754124676
955	0.973104605
956	0.9708293157
957	0.9672884747
958	0.964431775
959	0.9638448552
960	0.9603914598
961	0.9581590179
962	0.9547799215
963	0.951466062
964	0.9509927481
965	0.9477424183
966	0.9449253842
967	0.9422182969
968	0.9414662592
969	0.9383099845
970	0.9355634504
971	0.9334874501
972	0.9327499494
973	0.9296660607
974	0.9269825399
975	0.9262580432
976	0.9255471898
977	0.9229140054
978	0.9208730334
979	0.9182885241
980	0.9157503596
981	0.913737944
982	0.9117511836
983	0.9092605939
984	0.9085683137
985	0.9078888996
986	0.9072220652
987	0.9065675315
988	0.904123467
989	0.9021652536
990	0.9002319455
991	0.8983232448
992	0.8959240045
993	0.8952828528
994	0.8946533939
995	0.8940353731
996	0.8921519798
997	0.891545272
998	0.8909495009
999	0.889713171
